0.002,0.002,0.296,0.296,0,0.427,1.001,558328,557584,,
0.002,0.002,0.288,0.288,0,0.416,1.029,558328,542349,,1.14646
0.002,0.002,0.286,0.286,0,0.418,0.996,558328,560304,,0.11358258
0.001,0.002,0.294,0.294,0,0.491,1.014,558328,550369,,0.996
0.002,0.002,0.602,0.602,0,0.744,1.307,558328,427147,,2.435
0.002,0.002,0.312,0.312,0,0.438,1.029,558328,542493,,
0.002,0.002,0.288,0.288,0,0.416,1.01,558328,552675,,
0.002,0.002,0.301,0.301,0,0.437,1.145,558328,487530,,
0.001,0.002,0.288,0.288,0,0.415,1.041,558328,536574,,
0.002,0.002,0.293,0.293,0,1.497,2.142,558328,260703,,
0.002,0.002,0.284,0.284,0,0.412,1.011,558328,552484,,
0.002,0.002,0.291,0.291,0,0.42,0.996,558328,560619,,
0.002,0.002,0.288,0.288,0,0.419,1,558328,558250,,
0.002,0.002,0.631,0.631,0,0.797,2.122,558328,263172,,
0.002,0.002,0.292,0.292,0,0.422,1.005,558328,555327,,
0.001,0.001,0.284,0.284,0,0.479,1.015,558328,550203,,
0.002,0.002,0.324,0.324,0,0.453,1.066,558328,523581,,
0.001,0.002,0.314,0.314,0,0.44,1.052,558328,530838,,
0.002,0.002,0.297,0.297,0,0.425,1.046,558328,533562,,
0.002,0.002,0.32,0.32,0,0.449,1.065,558328,524453,,
0.002,0.002,0.301,0.301,0,0.429,1.016,558328,549541,,
0.001,0.002,0.285,0.285,0,0.42,1.01,558328,552562,,
0.002,0.002,0.542,0.543,0,0.672,1.279,558328,436414,,
0.002,0.002,0.322,0.322,0,1.775,2.435,558328,229294,,
0.002,0.002,0.327,0.327,0,0.456,1.053,558328,530203,,
0.001,0.002,0.339,0.339,0,0.467,1.053,558328,530208,,
0.002,0.002,0.296,0.296,0,0.432,1.043,558328,535220,,
0.002,0.002,0.285,0.285,0,0.417,1.056,558328,528474,,
0.001,0.002,0.287,0.287,0,0.414,1.023,558328,545718,,
0.037,0.037,0.319,0.319,0,0.447,1.03,558328,542248,,
0.002,0.002,0.288,0.288,0,0.415,1.022,558328,546386,,
0.002,0.002,0.284,0.284,0,0.411,1.024,558328,545232,,
0.002,0.002,0.47,0.47,0,0.613,1.204,558328,463852,,
0.001,0.002,0.286,0.286,0,0.416,0.999,558328,558766,,
0.002,0.002,0.292,0.292,0,0.422,1.03,558328,541872,,
0.001,0.002,0.288,0.288,0,0.417,1.019,558328,548146,,
0.002,0.002,0.289,0.289,0,0.416,1.016,558328,549481,,
0.002,0.002,0.288,0.288,0,0.418,1.01,558328,552732,,
0.002,0.002,0.296,0.296,0,1.636,2.298,558328,242999,,
0.002,0.002,0.442,0.442,0,0.573,1.179,558328,473575,,
0.001,0.002,0.292,0.292,0,0.422,1.048,558328,532880,,
0.002,0.002,0.292,0.292,0,0.428,1.056,558328,528722,,
0.001,0.002,0.287,0.287,0,0.418,1.004,558328,556117,,
0.001,0.002,0.292,0.292,0,0.433,1.098,558328,508456,,
0.001,0.002,0.29,0.29,0,0.417,1.01,558328,552543,,
0.001,0.001,0.286,0.286,0,0.415,1.029,558328,542637,,
0.002,0.002,0.289,0.29,0,0.417,1.034,558328,540041,,
0.002,0.002,0.312,0.312,0,0.441,1.042,558328,535881,,
0.001,0.002,0.288,0.288,0,0.417,0.998,558328,559337,,
0.002,0.002,0.376,0.376,0,0.517,1.113,558328,501554,,
    ,,,,,,,,,,
